micro_zone,microDepotId,scenario,dc
1975,624,2-MUC: Nur Transporter,14
1976,624,2-MUC: Nur Transporter,14
1977,624,2-MUC: Nur Transporter,14
1978,624,2-MUC: Nur Transporter,14
1987,624,2-MUC: Nur Transporter,14
1988,657,2-MUC: Nur Transporter,14
2601,9,2-MUC: Nur Transporter,14
2602,21,2-MUC: Nur Transporter,14
2603,39,2-MUC: Nur Transporter,14
2604,18,2-MUC: Nur Transporter,14
2605,36,2-MUC: Nur Transporter,14
2606,36,2-MUC: Nur Transporter,14
2607,36,2-MUC: Nur Transporter,14
2608,36,2-MUC: Nur Transporter,14
2609,57,2-MUC: Nur Transporter,14
2610,57,2-MUC: Nur Transporter,14
2611,54,2-MUC: Nur Transporter,14
2612,54,2-MUC: Nur Transporter,14
2613,69,2-MUC: Nur Transporter,14
2614,54,2-MUC: Nur Transporter,14
2615,69,2-MUC: Nur Transporter,14
2616,33,2-MUC: Nur Transporter,14
2617,33,2-MUC: Nur Transporter,14
2618,33,2-MUC: Nur Transporter,14
2619,33,2-MUC: Nur Transporter,14
2620,15,2-MUC: Nur Transporter,14
2622,15,2-MUC: Nur Transporter,14
2623,33,2-MUC: Nur Transporter,14
2624,33,2-MUC: Nur Transporter,14
2625,30,2-MUC: Nur Transporter,14
2626,30,2-MUC: Nur Transporter,14
2627,33,2-MUC: Nur Transporter,14
2628,51,2-MUC: Nur Transporter,14
2629,33,2-MUC: Nur Transporter,14
2630,51,2-MUC: Nur Transporter,14
2631,51,2-MUC: Nur Transporter,14
2632,66,2-MUC: Nur Transporter,14
2633,51,2-MUC: Nur Transporter,14
2634,66,2-MUC: Nur Transporter,14
2635,33,2-MUC: Nur Transporter,14
2636,51,2-MUC: Nur Transporter,14
2637,30,2-MUC: Nur Transporter,14
2638,48,2-MUC: Nur Transporter,14
2639,51,2-MUC: Nur Transporter,14
2640,66,2-MUC: Nur Transporter,14
2641,48,2-MUC: Nur Transporter,14
2642,63,2-MUC: Nur Transporter,14
2668,15,2-MUC: Nur Transporter,14
2669,30,2-MUC: Nur Transporter,14
2670,30,2-MUC: Nur Transporter,14
2671,27,2-MUC: Nur Transporter,14
2672,27,2-MUC: Nur Transporter,14
2673,27,2-MUC: Nur Transporter,14
2674,27,2-MUC: Nur Transporter,14
2675,30,2-MUC: Nur Transporter,14
2676,48,2-MUC: Nur Transporter,14
2677,27,2-MUC: Nur Transporter,14
2678,48,2-MUC: Nur Transporter,14
2679,63,2-MUC: Nur Transporter,14
2681,63,2-MUC: Nur Transporter,14
2693,72,2-MUC: Nur Transporter,14
2694,96,2-MUC: Nur Transporter,14
2695,96,2-MUC: Nur Transporter,14
